keys,en,hu
CARD_EVENT_HORIZON_MEMBRANE_DESC,"Gravity Well gains +45% radius and +1.5 seconds duration, but +30% cooldown and -25% initial damage.","A Gravity Well +45% sugarat és +1,5 másodperc időtartamot kap, de +30% cooldownnal és -25% kezdeti sebzéssel."
CARD_COMPRESSION_CORTEX_NAME,COMPRESSION CORTEX,KOMPRESSZIÓS KÉREG
CARD_COMPRESSION_CORTEX_DESC,"Continuously held enemies take +3% damage per level and second, capped at +12% per level.","A folyamatosan fogva tartott ellenfelek másodpercenként és szintenként +3% sebzést kapnak, szintenként legfeljebb +12%-ig."
CARD_TIDAL_LIGAMENTS_NAME,TIDAL LIGAMENTS,ÁRAPÁLYSZALAGOK
CARD_TIDAL_LIGAMENTS_DESC,"Each kill inside a well removes 0.06 seconds per level from its cooldown. Per-cast refund is capped at 0.6 + 0.12 seconds per level.","Minden, mezőn belüli ölés szintenként 0,06 másodpercet levesz a cooldownból. A visszatérítés használatonként legfeljebb 0,6 + szintenként 0,12 másodperc."
CARD_VECTOR_MANTLE_NAME,VECTOR MANTLE,VEKTORKÖPENY
CARD_VECTOR_MANTLE_DESC,"Repulse creates a 1.2-second, 160 px barrier that destroys hostile projectiles, but its cooldown is 25% longer.","A Repulse 1,2 másodperces, 160 px sugarú, ellenséges lövedékeket megsemmisítő gátat hoz létre, de a cooldown 25%-kal hosszabb."
CARD_REACTIVE_CRANIUM_NAME,REACTIVE CRANIUM,REAKTÍV KOPONYA
CARD_REACTIVE_CRANIUM_DESC,"Taking damage has a 15% + 5% per level chance to emit a 45%-damage Repulse. Three-second internal cooldown.","Sebződéskor 15% + szintenként 5% eséllyel 45% sebzésű Repulse aktiválódik. Belső cooldown: 3 másodperc."
CARD_MIRROR_PRISM_NAME,MIRROR PRISM,TÜKÖRPRIZMA
CARD_MIRROR_PRISM_DESC,"A reversed projectile splits into two copies dealing 45% + 6% per level damage. Maximum six splits per second.","A visszafordított lövedék két, 45% + szintenként 6% sebzésű másolatra válik. Legfeljebb hat osztódás másodpercenként."
CARD_LINEAR_INDUCTOR_NAME,LINEAR INDUCTOR,LINEÁRIS INDUKTOR
CARD_LINEAR_INDUCTOR_DESC,"Arc Spear becomes a narrow rail shot: +65% damage, +35% range and +25% cooldown.","Az Arc Spear keskeny rail-lövéssé válik: +65% sebzés, +35% hatótáv és +25% cooldown."
CARD_POLARIZED_SCAR_NAME,POLARIZED SCAR,POLARIZÁLT HEG
CARD_POLARIZED_SCAR_DESC,"Arc Spear marks targets for 2.5 seconds. The next Arc Spear consumes the mark for +8% damage per level.","Az Arc Spear 2,5 másodpercre megjelöli a célpontot. A következő Arc Spear elfogyasztja a jelet szintenként +8% sebzésért."
CARD_RAIL_SYNAPSES_NAME,RAIL SYNAPSES,RAIL SZINAPSZISOK
CARD_RAIL_SYNAPSES_DESC,"Per level: +12% Arc Spear speed and range, -6% width. Hitting at least three enemies refunds 5% cooldown.","Szintenként +12% Arc Spear-sebesség és -hatótáv, -6% szélesség. Legalább három találat 5% cooldown-visszatérítést ad."
CARD_CORONA_FOLLICLES_NAME,CORONA FOLLICLES,KORONA-TÜSZŐK
CARD_CORONA_FOLLICLES_DESC,"Ion Quill splits into two microshards on first impact. Each deals 35% damage; maximum eight splits per cast.","Az Ion Quill az első találatkor két mikroszilánkra hasad. Mindegyik 35% sebzést okoz; használatonként legfeljebb nyolc hasadás."
CARD_IONIC_MARROW_NAME,IONIC MARROW,IONOS VELŐ
CARD_IONIC_MARROW_DESC,"Gain one projectile at levels 1, 3 and 5, but lose 4% projectile damage per level.","Az 1., 3. és 5. szinten egy új lövedéket kapsz, de szintenként 4%-kal csökken a lövedéksebzés."
CARD_STORM_PLUMAGE_NAME,STORM PLUMAGE,VIHARTOLLAZAT
CARD_STORM_PLUMAGE_DESC,"Every sixth electric secondary-projectile impact bursts in 110 px for 35% + 8% attack damage per level.","Minden hatodik elektromos másodlagos lövedéktalálat 110 px sugarú kitörést okoz, 35% + szintenként 8% támadási sebzéssel."
CARD_FURNACE_CARAPACE_NAME,FURNACE CARAPACE,KOHÓPÁNCÉL
CARD_FURNACE_CARAPACE_DESC,"With three burning enemies within 190 px: 22% damage reduction and +20% Inferno Ring tick rate, but -10% move speed.","Három, 190 px-en belüli égő ellenfélnél: 22% sebzéscsökkentés és +20% Inferno Ring ticksebesség, de -10% mozgási sebesség."
CARD_CAUTERY_VALVES_NAME,CAUTERY VALVES,KAUTERIZÁLÓ SZELEPEK
CARD_CAUTERY_VALVES_DESC,"Inferno Ring hits heal 0.08 HP per level, capped at 0.8 + 0.2 HP per second per level.","Az Inferno Ring találatai szintenként 0,08 HP-t gyógyítanak, másodpercenként legfeljebb 0,8 + szintenként 0,2 HP-t."
CARD_THERMAL_PULSE_GLAND_NAME,THERMAL PULSE GLAND,HŐIMPULZUS-MIRIGY
CARD_THERMAL_PULSE_GLAND_DESC,"Every fourth Inferno Ring tick pulls enemies 35 + 8 px per level inward and adds one burn stack. Elites resist half.","Minden negyedik Inferno Ring tick 35 + szintenként 8 px-lel befelé húzza az ellenfeleket és egy égésjelzőt ad. Az elitek félig ellenállnak."
CARD_OBSIDIAN_THROAT_NAME,OBSIDIAN THROAT,OBSZIDIÁN TOROK
CARD_OBSIDIAN_THROAT_DESC,"Magma Spear gains +90% damage and +35% cooldown, leaving a 3-second burning lane for 22% attack damage per second.","A Magma Spear +90% sebzést és +35% cooldownt kap, és 3 másodperces égő sávot hagy, másodpercenként 22% támadási sebzéssel."
CARD_KILN_CHAMBER_NAME,KILN CHAMBER,ÉGETŐKAMRA
CARD_KILN_CHAMBER_DESC,"Per level: Magma Spear gains +10% range and +7% damage, but Koda loses 2% move speed.","Szintenként a Magma Spear +10% hatótávot és +7% sebzést kap, de Koda 2% mozgási sebességet veszít."
CARD_PRESSURE_CRUCIBLE_NAME,PRESSURE CRUCIBLE,NYOMÁSTÉGELY
CARD_PRESSURE_CRUCIBLE_DESC,"Every 1.5 seconds without a fire hit stores Pressure, up to three. The next Magma attack gains +8% damage per level and stack.","Minden tűztalálat nélküli 1,5 másodperc egy Nyomást tárol, legfeljebb hármat. A következő Magma-támadás szintenként és jelzőnként +8% sebzést kap."
CARD_ORBIT_BROOD_SAC_NAME,ORBIT BROOD SAC,ORBITÁLIS KÖLTŐZSÁK
CARD_ORBIT_BROOD_SAC_DESC,"Kinetic Captivity gains +2 capacity and +25% orbit radius, but its collapse cooldown is 2 seconds longer.","A Kinetic Captivity +2 kapacitást és +25% keringési sugarat kap, de az összeomlási cooldown 2 másodperccel hosszabb."
CARD_COLLISION_NUCLEUS_NAME,COLLISION NUCLEUS,ÜTKÖZÉSMAG
CARD_COLLISION_NUCLEUS_DESC,"Per level: captive collision damage +16%, captive duration -4%.","Szintenként +16% fogoly-ütközési sebzés és -4% fogságidő."
CARD_EXECUTION_FOLD_NAME,EXECUTION FOLD,KIVÉGZÉSI REDŐ
CARD_EXECUTION_FOLD_DESC,"A captive below 20% health collapses early and explodes in 130 px for 70% + 20% attack damage per level.","A 20% életerő alatti fogoly korán összeomlik és 130 px sugarú robbanást okoz, 70% + szintenként 20% támadási sebzéssel."
CARD_SYNAPTIC_RAIL_NAME,SYNAPTIC RAIL,SZINAPTIKUS SÍN
CARD_SYNAPTIC_RAIL_DESC,"Neural Lance becomes 30% narrower with +100% damage, +50% force and +35% cooldown.","A Neural Lance 30%-kal keskenyebb lesz, +100% sebzéssel, +50% erővel és +35% cooldownnal."
CARD_PSYCHIC_PARALLAX_NAME,PSYCHIC PARALLAX,PSZICHIKUS PARALLAXIS
CARD_PSYCHIC_PARALLAX_DESC,"Kinetic Shard and Neural Lance gain +5% damage per level for every 220 px traveled, capped at +15% per level.","A Kinetic Shard és Neural Lance minden megtett 220 px után szintenként +5% sebzést kap, legfeljebb szintenként +15%-ig."
CARD_THOUGHT_ECHO_NAME,THOUGHT ECHO,GONDOLATVISSZHANG
CARD_THOUGHT_ECHO_DESC,"A line attack hitting at least three enemies repeats after 0.45 seconds for 25% + 8% damage per level, once per cast.","A legalább három ellenfelet eltaláló vonaltámadás 0,45 másodperc után megismétlődik, 25% + szintenként 8% sebzéssel, használatonként egyszer."
REROLL - %d BIOMASS,REROLL - %d BIOMASS,ÚJRA - %d BIOMASSZA
SKIP,SKIP,KIHAGYÁS
BIOFABRICATOR CACHE // FINAL MUTATION AND REPAIR,BIOFABRICATOR CACHE // FINAL MUTATION AND REPAIR,BIOFABRIKÁTOR-TARTALÉK // UTOLSÓ MUTÁCIÓ ÉS JAVÍTÁS
ACTIVE SKILL,ACTIVE SKILL,AKTÍV KÉPESSÉG
PRESS A KEY - ESC TO CANCEL,PRESS A KEY - ESC TO CANCEL,NYOMJ LE EGY GOMBOT - ESC: MÉGSE
ONBOARDING_ACTIVE_ELECTRIC,"ACTIVE: Voltaic Overdrive discharges around Koda and can interrupt the Warden. Press the Active Skill key when enemies are close.","AKTÍV: A Voltaic Overdrive Koda körül sül ki, és megszakíthatja az Őrzőt. Nyomd meg az Aktív képesség gombját, ha ellenfelek vannak közel."
ONBOARDING_ACTIVE_FIRE,"ACTIVE: Pyre Burst burns nearby enemies. After unlocking Magma Spear, press Active Skill to aim, confirm to fire, or Cancel to leave aim mode.","AKTÍV: A Pyre Burst felgyújtja a közeli ellenfeleket. A Magma Spear feloldása után az Aktív képességgel célozz, megerősítéssel lőj, vagy a Mégse gombbal lépj ki a célzásból."
ONBOARDING_ACTIVE_TELEKINETIC,"ACTIVE: Repulse Wave throws enemies away and can interrupt the Warden's wind-up.","AKTÍV: A Repulse Wave messzire löki az ellenfeleket, és megszakíthatja az Őrző támadásának előkészítését."
ACTIVE SKILL // USE THE HUD KEY // AIMED SKILLS CAN BE CANCELLED,ACTIVE SKILL // USE THE HUD KEY // AIMED SKILLS CAN BE CANCELLED,AKTÍV KÉPESSÉG // HASZNÁLD A HUD-ON JELZETT GOMBOT // A CÉLZÁS MEGSZAKÍTHATÓ
PROFILE_HEADER,RUN PROFILE,FUTAMPROFIL
PROFILE_SUBJECT,SUBJECT,ALANY
PROFILE_MODE,MODE,MÓD
PROFILE_MODE_VALUE,PLAYABLE PROTOTYPE,JÁTSZHATÓ PROTOTÍPUS
PROFILE_INSTANCE_RECORD,INSTANCE RECORD,PÉLDÁNY-NYILVÁNTARTÁS
PROFILE_INSTANCE,KODA INSTANCE,KODA-PÉLDÁNY
PROFILE_REPRINTS,REPRINTS,ÚJRANYOMTATÁSOK
PROFILE_RUNS,RUNS,FUTAMOK
PROFILE_LIFETIME_KILLS,LIFETIME KILLS,ÖSSZES KIIRTÁS
PROFILE_BOSS_VICTORIES,BOSS VICTORIES,FŐELLENSÉG-GYŐZELMEK
PROFILE_BEST_SURVIVAL,BEST SURVIVAL,LEGHOSSZABB TÚLÉLÉS
PRE-ALPHA DEMO,PRE-ALPHA DEMO,PRE-ALFA DEMÓ
NEW EFFECT,NEW EFFECT,ÚJ HATÁS
NEXT LEVEL,NEXT LEVEL,KÖVETKEZŐ SZINT
PERMANENT BLOOD MEMORY: %d,PERMANENT BLOOD MEMORY: %d,ÁLLANDÓ VÉREMLÉK: %d
REROLL LIMIT REACHED,REROLL LIMIT REACHED,ELÉRTED AZ ÚJRAHÚZÁSI LIMITET
"Permanent meta currency. Paid rerolls cost more each time.","Permanent meta currency. Paid rerolls cost more each time.","Állandó metapénz. A fizetett újrahúzás minden alkalommal drágább."
BRAIN,BRAIN,AGY
HEART,HEART,SZÍV
LEGS,LEGS,LÁBAK
BRAIN SLOT,BRAIN SLOT,FEJ SLOT
HEART SLOT,HEART SLOT,SZÍV SLOT
LEGS SLOT,LEGS SLOT,LÁB SLOT
DRAG THE %s ORGAN TO THE %s SLOT,DRAG THE %s ORGAN TO THE %s SLOT,HÚZD A(Z) %s ORGANT A(Z) %s HELYRE
NO PENDING ORGAN,NO PENDING ORGAN,NINCS VÁRAKOZÓ ORGAN
"Installed organs remain active until replaced.","Installed organs remain active until replaced.","A beültetett organok cseréig aktívak maradnak."
New mutation effect.,New mutation effect.,Új mutációs hatás.
ADDITIONAL PROTOTYPE,ADDITIONAL PROTOTYPE,TOVÁBBI PROTOTÍPUS
IN DEVELOPMENT,IN DEVELOPMENT,FEJLESZTÉS ALATT
BASE CORE: STANDARD OUTPUT,BASE CORE: STANDARD OUTPUT,ALAP MAG: NORMÁL TELJESÍTMÉNY
"Permanent meta currency. Paid rerolls cost 2, then 3, then 5 per offer.","Permanent meta currency. Paid rerolls cost 2, then 3, then 5 per offer.","Állandó metapénz. Egy ajánlaton belül az újrahúzás ára 2, majd 3, végül 5 Véremlék."
DRAG THE BRAIN ORGAN TO THE HEAD SLOT,DRAG THE BRAIN ORGAN TO THE HEAD SLOT,HÚZD AZ AGY ORGAN-T A FEJ SLOTBA
DRAG THE HEART ORGAN TO THE CHEST SLOT,DRAG THE HEART ORGAN TO THE CHEST SLOT,HÚZD A SZÍV ORGAN-T A MELLKASI SLOTBA
DRAG THE LEGS ORGAN TO THE LEG SLOT,DRAG THE LEGS ORGAN TO THE LEG SLOT,HÚZD A LÁB ORGAN-T A LÁB SLOTBA
DRAG THE %s ORGAN TO ITS MATCHING SLOT,DRAG THE %s ORGAN TO ITS MATCHING SLOT,HÚZD A(Z) %s ORGAN-T A HOZZÁ ILLŐ SLOTBA
